,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
142,ニトロ・ウォリアー,S効果,7,炎,戦士,2800,1800,18013090,「ニトロ・シンクロン」＋チューナー以外のモンスター１体以上このカードがフィールド上に表側表示で存在する限り、自分のターンに自分が魔法カードを発動した場合、このカードの攻撃力はそのターンのダメージ計算時のみ１度だけ１０００ポイントアップする。また、このカードの攻撃によって相手モンスターを破壊したダメージ計算後に発動できる。相手フィールド上に表側守備表示で存在するモンスター１体を選択して攻撃表示にし、そのモンスターにもう１度だけ続けて攻撃できる。
143,ゴヨウ・ガーディアン【禁止カード】,S効果,6,地,戦士,2800,2000,07391448,チューナー＋チューナー以外のモンスター１体以上このカードが戦闘によって相手モンスターを破壊し墓地へ送った時、そのモンスターを自分フィールド上に表側守備表示で特殊召喚できる。
144,ハイドロ・ジェネクス,S効果,6,水,機械,2300,1800,47421985,「ジェネクス・コントローラー」＋チューナー以外の水属性モンスター１体以上このカードが戦闘によって相手モンスターを破壊し墓地へ送った時、破壊したモンスターの攻撃力分だけ自分のライフポイントを回復する。
145,Ｘ-セイバー ウェイン,S効果,5,地,戦士,2100,400,83810690,チューナー＋チューナー以外のモンスター１体以上このカードがシンクロ召喚に成功した時、手札からレベル４以下の戦士族モンスター１体を特殊召喚できる。
146,Ａ・Ｏ・Ｊ ライト・ゲイザー,S効果,8,闇,機械,2400,1600,19204398,チューナー＋チューナー以外のモンスター１体以上このカードの攻撃力は、相手の墓地の光属性モンスターの数×２００ポイントアップする。
147,痛み分け,通常魔法,,,,,,56830749,自分フィールド上に存在するモンスター１体をリリースして発動する。相手はモンスター１体をリリースしなければならない。
148,フォース,通常魔法,,,,,,34016756,フィールド上に表側表示で存在するモンスター２体を選択して発動できる。エンドフェイズ時まで、選択したモンスター１体の攻撃力を半分にし、その数値分もう１体のモンスターの攻撃力をアップする。
149,メテオ・ストライク,装備魔法,,,,,,97687912,装備モンスターが守備表示モンスターを攻撃した時、その守備力を攻撃力が超えていれば、その数値だけ相手ライフに戦闘ダメージを与える。
150,道連れ,通常罠,,,,,,37580756,フィールド上に存在するモンスターが自分の墓地へ送られた時に発動する事ができる。フィールド上に存在するモンスター１体を破壊する。
151,誘惑のシャドウ,通常罠,,,,,,58621589,相手フィールド上にモンスターがセットされた時に発動する事ができる。そのセットされたモンスター１体を表側攻撃表示にする。（この時、リバース効果モンスターの効果は発動しない。）
152,粘着落とし穴,通常罠,,,,,,62325062,相手がモンスターの召喚・反転召喚・特殊召喚に成功した時に発動する事ができる。そのモンスターはフィールド上に表側表示で存在する限り、元々の攻撃力が半分になる。
153,宝玉の祈り,通常罠,,,,,,96331676,自分の魔法＆罠カードゾーンの「宝玉獣」と名のついたカード１枚を墓地へ送って発動できる。相手フィールド上のカード１枚を選択して破壊する。
154,昇天の黒角笛,ｶｳﾝﾀｰ罠,,,,,,50323155,相手モンスター１体の特殊召喚を無効にし破壊する。
155,ターボ・シンクロン,ﾁｭｰﾅｰ効果,1,風,機械,100,500,67270095,(1)：このカードが攻撃表示モンスターに攻撃宣言した時に発動できる。攻撃対象モンスターを守備表示にする。(2)：このカードの攻撃で自分が戦闘ダメージを受けた時に発動できる。受けた戦闘ダメージの数値以下の攻撃力のモンスター１体を手札から特殊召喚する。
156,マッド・デーモン,効果,4,闇,悪魔,1800,0,94664694,(1)：このカードが守備表示モンスターを攻撃した場合、その守備力を攻撃力が超えた分だけ戦闘ダメージを与える。(2)：攻撃表示のこのカードが攻撃対象に選択された場合に発動する。このカードを守備表示にする。
157,Ｄ・モバホン,効果,1,地,機械,100,100,93542102,このカードはこのカードの表示形式によって以下の効果を得る。●攻撃表示：サイコロを１回振り、出た目の数だけ自分のデッキの上からカードをめくる。その中からレベル４以下の「Ｄ（ディフォーマー）」と名のついたモンスター１体を選び、召喚条件を無視して特殊召喚し、残りのカードはデッキに戻してシャッフルする。この効果は１ターンに１度しか使用できない。●守備表示：サイコロを１回振り、出た目の数だけ自分のデッキの上からカードを確認して元の順番でデッキの上に戻す。この効果は１ターンに１度しか使用できない。
158,ガジェット・トレーラー,効果,6,地,機械,1300,0,28002611,１ターンに１度、手札から「Ｄ（ディフォーマー）」と名のついたモンスターを任意の枚数墓地へ送る事ができる。この効果で墓地へ送ったモンスター１体につき、このカードの攻撃力は８００ポイントアップする。
159,リボルバー・ドラゴン,効果,7,闇,機械,2600,2200,81480460,(1)：１ターンに１度、相手フィールドのモンスター１体を対象として発動できる。コイントスを３回行い、その内２回以上が表だった場合、そのモンスターを破壊する。
160,ドリルロイド,効果,4,地,機械,1600,1600,71218746,このカードが守備表示モンスターを攻撃した場合、ダメージ計算前にそのモンスターを破壊する。
161,ナチュル・ビートル,効果,4,地,昆虫,400,1800,27762803,このカードがフィールド上に表側表示で存在する限り、魔法カードが発動する度に、このカードの元々の攻撃力と元々の守備力を入れ替える。
162,ナチュル・ロック,効果,3,地,岩石,1200,1200,54161401,罠カードが発動した時、デッキの上からカードを１枚墓地へ送って発動できる。このカードを手札から特殊召喚する。この効果は相手ターンでも発動できる。
163,ナチュル・ガーディアン,効果,4,地,植物,1600,400,80555116,相手がモンスターの召喚に成功した時、このカードの攻撃力はエンドフェイズ時まで３００ポイントアップする。
